Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date
PU-CMP-1000,Paid Ads,Working Women,6,"Facebook, Google",31869,3490,1946,902,493394,55.93,8.78,Tamil,19.89,Premium Shoppers,27-12-2024
PU-CMP-1001,Paid Ads,Premium Shoppers,8,"Instagram, WhatsApp",26640,2441,741,314,108644,197.44,0.75,Bengali,13.12,Premium Shoppers,26-11-2024
PU-CMP-1002,Influencer,Youth,22,"Facebook, WhatsApp",36967,4997,1025,653,238345,234.59,0.56,English,18.06,College Students,08-01-2025
PU-CMP-1003,Paid Ads,Youth,15,"Instagram, WhatsApp",73258,5893,2565,1970,1341570,103.76,5.56,Bengali,14.23,College Students,14-03-2025
PU-CMP-1004,Social Media,Premium Shoppers,11,"WhatsApp, Instagram",91081,6393,3282,2582,787510,78.61,2.88,English,13.46,College Students,11-07-2024
PU-CMP-1005,SEO,Tier 2 City Customers,12,Email,18715,976,555,364,158340,411.09,0.06,Bengali,10.13,College Students,09-11-2024
PU-CMP-1006,SEO,Youth,10,"Google, Facebook",75752,9883,5783,4300,3427100,60.38,12.2,English,26.36,Working Women,28-07-2024
PU-CMP-1007,Paid Ads,College Students,12,"WhatsApp, Google",87117,5441,2231,1716,713856,42.22,8.85,Hindi,10.78,Tier 2 City Customers,26-11-2024
PU-CMP-1008,Paid Ads,Tier 2 City Customers,19,"Google, Email, Facebook",89807,4931,2639,2052,627912,124.35,1.46,Hindi,10.71,Tier 2 City Customers,18-08-2024
PU-CMP-1009,Paid Ads,College Students,18,"Instagram, Google",95629,6410,2147,1149,687102,84.2,6.1,English,10.15,Working Women,08-12-2024
PU-CMP-1010,SEO,Tier 2 City Customers,18,"WhatsApp, Email",31958,1412,480,337,210288,513.47,0.22,Bengali,6.97,Youth,22-03-2025
PU-CMP-1011,Influencer,Youth,19,"Email, Facebook",61661,2410,1417,466,150052,537.33,-0.4,Tamil,6.96,Premium Shoppers,30-08-2024
PU-CMP-1012,Influencer,College Students,14,Instagram,84644,7535,2416,1155,883575,74.1,9.32,Bengali,13.12,College Students,19-11-2024
PU-CMP-1013,SEO,College Students,11,"Instagram, YouTube, Google",90802,7801,2786,1013,762789,140.33,4.37,Hindi,12.78,Tier 2 City Customers,03-11-2024
PU-CMP-1014,SEO,College Students,6,WhatsApp,35821,1787,538,383,151285,541.42,-0.27,Hindi,7.56,Youth,12-11-2024
PU-CMP-1015,Paid Ads,Tier 2 City Customers,29,WhatsApp,22454,1933,526,249,150147,1039.66,-0.42,English,12.06,College Students,22-05-2025
PU-CMP-1016,SEO,Premium Shoppers,7,WhatsApp,89530,8111,3517,1069,696988,172.5,2.78,English,14.18,Premium Shoppers,19-05-2025
