Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date
TI-CMP-1000,SEO,Working Women,11,Instagram,64004,2906,1639,952,222768,129.72,0.8,Tamil,8.59,Premium Shoppers,30-10-2024
TI-CMP-1001,Social Media,Tier 2 City Customers,24,YouTube,71795,2051,552,256,199168,316.36,1.46,Tamil,3.98,College Students,11-09-2024
TI-CMP-1002,Paid Ads,Working Women,28,Instagram,79158,3546,1928,1314,433620,91.25,2.62,English,8.58,Tier 2 City Customers,28-08-2024
TI-CMP-1003,Email,Youth,8,Google,31523,3721,2088,736,571872,161.13,3.82,Bengali,20.76,Youth,27-07-2024
TI-CMP-1004,Paid Ads,Premium Shoppers,15,"Facebook, Email, WhatsApp",61441,7277,3615,2602,1477936,82.07,5.92,Tamil,21.96,College Students,19-12-2024
TI-CMP-1005,Email,Tier 2 City Customers,6,"Google, Facebook",32340,4722,1102,698,185668,194.21,0.37,English,20.17,Tier 2 City Customers,26-09-2024
TI-CMP-1006,Social Media,Working Women,5,"Email, YouTube, WhatsApp",91729,13151,5556,4153,2691144,32.98,18.65,English,24.92,Premium Shoppers,08-02-2025
TI-CMP-1007,Social Media,Working Women,21,"Google, Facebook, Instagram",65005,7269,3868,2118,1230558,141.08,3.12,Bengali,20.39,College Students,14-11-2024
TI-CMP-1008,Email,Working Women,20,YouTube,73189,8370,3960,2248,804784,43.89,7.16,Hindi,19.92,College Students,19-08-2024
TI-CMP-1009,Influencer,College Students,30,"Email, WhatsApp, Facebook",45172,5934,2313,1432,890704,190.58,2.26,English,21.43,Youth,13-10-2024
TI-CMP-1010,Paid Ads,Working Women,17,WhatsApp,69755,5512,2113,1462,893282,128.34,3.76,Hindi,13.03,Working Women,07-11-2024
TI-CMP-1011,Paid Ads,Youth,13,"YouTube, Google",65072,3262,1203,362,221906,269.07,1.28,Hindi,7.42,Youth,02-01-2025
TI-CMP-1012,Influencer,Tier 2 City Customers,12,"YouTube, Instagram, Facebook",55636,6843,1846,1376,876512,122.46,4.2,Bengali,18.09,Tier 2 City Customers,03-03-2025
TI-CMP-1013,Social Media,Tier 2 City Customers,11,"WhatsApp, YouTube, Facebook",47664,2390,516,331,132069,351.54,0.13,Bengali,6.79,Working Women,02-01-2025
TI-CMP-1014,Influencer,Working Women,13,"YouTube, Instagram, Facebook",64076,3644,1453,466,210166,442.95,0.02,Tamil,8.68,College Students,20-01-2025
TI-CMP-1015,SEO,Premium Shoppers,12,"Email, YouTube, Instagram",26173,590,286,136,99552,1973.18,-0.63,Hindi,3.87,Youth,05-11-2024
TI-CMP-1016,Paid Ads,Premium Shoppers,9,Facebook,97997,4891,2733,1710,737010,114.64,2.76,Tamil,9.52,Premium Shoppers,20-08-2024
TI-CMP-1017,Influencer,Working Women,7,Instagram,57914,3251,1316,621,344655,181.1,2.06,English,8.96,Youth,14-03-2025
TI-CMP-1018,Social Media,College Students,19,"Instagram, Email, Google",55714,7295,4021,1365,318045,71.56,2.26,Bengali,22.76,Working Women,27-10-2024
TI-CMP-1019,Email,College Students,30,"YouTube, Email, Google",66194,3789,2191,1039,322090,56.56,4.48,Tamil,10.6,Premium Shoppers,31-07-2024
TI-CMP-1020,SEO,Premium Shoppers,27,"Facebook, Instagram, WhatsApp",39779,5548,2987,1006,602594,128.94,3.65,Bengali,23.99,Working Women,08-10-2024
TI-CMP-1021,Paid Ads,Premium Shoppers,9,"WhatsApp, Instagram",30689,2535,1175,588,316344,148.6,2.62,Bengali,14.01,Youth,19-04-2025
TI-CMP-1022,Influencer,College Students,26,"Email, Google",21912,2823,1320,746,317050,194.36,1.19,English,22.31,Youth,16-01-2025
TI-CMP-1023,Influencer,Youth,16,"YouTube, Google",68428,8823,3113,1773,1223370,87.09,6.92,Bengali,20.03,Tier 2 City Customers,13-08-2024
TI-CMP-1024,Social Media,Premium Shoppers,27,"Google, Facebook, Instagram",71309,7394,2522,1904,1222368,64.24,8.99,English,16.58,Youth,08-05-2025
